Row,Building,City,Height m,Height ft,Floors,Year,Status
185,Signature Place,St. Petersburg,116.10 m,380.91 ft,36 floors,2009,completed
186,Carbide & Carbon Building,Chicago,153.32 m,503.01 ft,37 floors,1929,completed
187,The Hansar,Bangkok,172.95 m,567.42 ft,43 floors,2011,completed
188,OCT Tower,Shenzhen,300.00 m,984.25 ft,60 floors,2019,topped out
189,Hotel Sofitel Tokyo,Tokyo,106.07 m,348.01 ft,26 floors,1994,destroyed
190,The Met,Bangkok,230.56 m,756.43 ft,69 floors,2009,completed
191,Frost Tower,San Antonio,117.65 m,386.00 ft,23 floors,2019,completed
192,Marriott Marquis Hotel,Atlanta,168.86 m,554.01 ft,52 floors,1985,completed
193,Edificio Demetrio Eliades,Mar del Plata,125.00 m,410.10 ft,40 floors,,completed
194,Suzhou Zhongnan Center,Suzhou,729.00 m,2391.73 ft,137 floors,,interrupted
195,Suzhou IFS,Suzhou,450.00 m,1476.38 ft,98 floors,2019,completed
196,FMC Tower at Cira Centre South,Philadelphia,222.50 m,730.00 ft,49 floors,2017,completed
197,Garden Tower,Frankfurt am Main,126.50 m,415.03 ft,25 floors,2005,completed
198,City-Hochhaus,Frankfurt am Main,142.80 m,468.50 ft,42 floors,2008,completed
199,Taunusturm,Frankfurt am Main,170.00 m,557.74 ft,40 floors,2013,completed
200,Scotia Plaza,Toronto,275.00 m,902.23 ft,68 floors,1988,completed
201,Rivergate Tower,Tampa,138.38 m,454.01 ft,32 floors,1988,completed
202,Ilham Tower,Kuala Lumpur,274.00 m,898.95 ft,58 floors,2015,completed
203,Puerta de Europa II,Madrid,113.81 m,373.39 ft,26 floors,1996,completed
204,Aurora,Brisbane,207.00 m,679.13 ft,69 floors,2006,completed
205,One Liberty Place,Philadelphia,288.04 m,945.01 ft,61 floors,1987,completed
206,Torre Realia BCN,L'Hospitalet de Llobregat,113.33 m,371.82 ft,24 floors,2009,completed
207,Sofitel Chicago Water Tower,Chicago,105.79 m,347.08 ft,33 floors,2002,completed
208,Merchandise Mart,Chicago,103.63 m,340.00 ft,25 floors,1930,completed
209,Boeing World Headquarters,Chicago,170.69 m,560.01 ft,36 floors,1990,completed
210,Puerta de Europa I,Madrid,113.80 m,373.36 ft,26 floors,1996,completed
211,Tour Nuages 1,Nanterre,100.00 m,328.08 ft,39 floors,1977,completed
212,Leningradskaya Hotel,Moscow,136.00 m,446.19 ft,26 floors,1953,completed
213,Burj Mohammed Bin Rashid Tower,Abu Dhabi,381.21 m,1250.69 ft,88 floors,2014,completed
214,One Bloor,Toronto,257.30 m,844.16 ft,75 floors,2017,completed
215,Tour Oxygène,Lyon,115.00 m,377.30 ft,28 floors,2010,completed
216,Academy of Sciences,Riga,107.60 m,353.02 ft,21 floors,1955,completed
217,Tour Perret,Amiens,110.00 m,360.89 ft,27 floors,1952,completed
218,Evolution Tower,Moscow,245.90 m,806.76 ft,46 floors,2015,completed
219,33 North LaSalle,Chicago,146.00 m,479.01 ft,38 floors,1930,completed
220,United Building,Chicago,203.61 m,668.01 ft,49 floors,1992,completed
221,One Central Park,Sydney,117.00 m,383.86 ft,35 floors,2014,completed
222,One Madison,New York City,188.22 m,617.51 ft,51 floors,2011,completed
223,Capital City Moscow Tower,Moscow,301.59 m,989.47 ft,76 floors,2010,completed
224,Das Präsidium,Frankfurt am Main,175.00 m,574.15 ft,48 floors,2025,approved
225,Torre Caja Madrid,Madrid,249.89 m,819.85 ft,45 floors,2008,completed
226,Mode Gakuen Spiral Towers,Nagoya,170.00 m,557.74 ft,36 floors,2008,completed
