Row,Building,City,Height m,Height ft,Floors,Year,Status
2922,1601 Vine Street,Philadelphia,46 floors,2009,canceled
2923,The Crescent City,Baku,210.00 m,688.98 ft,52 floors,2016,completed
2924,Chai Fu House,Hong Kong,127.87 m,419.53 ft,41 floors,,completed
2925,Shenzhen Kerry Centre 2,Shenzhen,200.00 m,656.17 ft,42 floors,2012,completed
2926,Symphony Hawaii,Honolulu,43 floors,2016,completed
2927,Nashville Convention Center Hotel,Nashville,47 floors,,canceled
2928,Freder Centre Redevelopment Block 6,Hong Kong,51 floors,,canceled
2929,Lok Wong House,Hong Kong,41 floors,1997,completed
2930,Bryan Tower,Dallas,156.06 m,512.00 ft,34 floors,1973,completed
2931,Central Bank of Kuwait,Kuwait City,240.00 m,787.40 ft,42 floors,2013,completed
2932,Torre Allure,Panama City,55 floors,,proposed
2933,CSSD Plaza,Suzhou,222.00 m,728.35 ft,47 floors,2015,completed
2934,Hyatt Regency Osaka,Osaka,112.35 m,368.60 ft,28 floors,1994,completed
2935,Apa-Giz Plaza,Istanbul,104.00 m,341.21 ft,25 floors,2009,completed
2936,Doosan Haeundae We've the Zenith Tower A,Busan,300.00 m,984.25 ft,80 floors,2011,completed
2937,J.City Building,Tokyo,100.59 m,330.00 ft,24 floors,1994,completed
2938,WEDGE International Tower,Houston,167.64 m,550.01 ft,43 floors,1983,completed
2939,The Senri Tower,Toyonaka,41 floors,2009,completed
2940,Mineral House,Brisbane,110.00 m,360.89 ft,30 floors,1984,completed
2941,Tors torn 1,Stockholm,140.00 m,459.32 ft,37 floors,,canceled
2942,D'Grafort Kobe Sannomiya Tower,Kobe,151.97 m,498.59 ft,43 floors,2005,completed
2943,55 & 65 Harbour Square,Toronto,120.00 m,393.70 ft,38 floors,1979,completed
2944,Belvedere Garden 1,Hong Kong,43 floors,1989,completed
2945,Wanchai Tower,Hong Kong,136.60 m,448.16 ft,32 floors,1985,completed
2946,Sky Corporate,São Paulo,114.40 m,375.33 ft,31 floors,2012,frame assembly
2947,870 U.N. Plaza Apartments,New York City,130.76 m,429.00 ft,40 floors,1966,completed
2948,Festival City II Tower 5,Hong Kong,55 floors,2010,completed
2949,Metro Harbourview 7,Hong Kong,171.00 m,561.02 ft,50 floors,2003,completed
2950,Library Tower,San Diego,145.70 m,478.01 ft,43 floors,,canceled
2951,Cross Strait Exchange Center 1,Xiamen,204.70 m,671.59 ft,49 floors,2014,completed
2952,Shinjuku Bunka Quint Building,Tokyo,111.60 m,366.14 ft,23 floors,2003,completed
2953,Cavendish Heights 1,Hong Kong,119.68 m,392.63 ft,34 floors,1986,completed
2954,MOTHER,Tokyo,1321.00 m,4333.99 ft,220 floors,,vision
2955,Grand Hyatt Colombo,Colombo,129.85 m,426.00 ft,43 floors,2015,completed
2956,Water Front I,Rio de Janeiro,175.35 m,575.30 ft,60 floors,,canceled
2957,Rama Tower,Ramat Gan,100.00 m,328.08 ft,27 floors,2015,completed
2958,Cuneo Building,Chicago,200.26 m,657.01 ft,60 floors,,canceled
2959,Grand Gateway Garden II,Shanghai,100.00 m,328.08 ft,34 floors,1999,completed
2960,Villa Magna Condominiums II,Miami,174.96 m,574.01 ft,57 floors,,canceled
2961,Huamin Emperor Hotel,Shanghai,235.10 m,771.33 ft,61 floors,2011,completed
2962,Centro Civico,Lima,102.00 m,334.65 ft,34 floors,1976,completed
2963,Scotia 1,Edmonton,113.20 m,371.38 ft,28 floors,1982,completed
2964,Copper Pointe III,Phoenix,124.97 m,410.01 ft,40 floors,,canceled
2965,Southbank Tower,Dublin,122.00 m,400.26 ft,30 floors,,canceled
2966,Kudan Common Government Office Building No. 3,Tokyo,151.00 m,495.41 ft,23 floors,2007,completed
2967,Air Rise Tower,Tokyo,144.51 m,474.11 ft,42 floors,2007,completed
2968,The Metropolitan,Sacramento,128.02 m,420.01 ft,40 floors,,proposed
2969,Harumi Island Triton Square Tower Y,Tokyo,175.00 m,574.15 ft,39 floors,2000,completed
2970,Torre de Mosanto,Oeiras,120.00 m,393.70 ft,17 floors,2001,completed
2971,Heron Quays West Tower 1,London,214.00 m,702.10 ft,40 floors,,canceled
2972,Sorrento 3,Hong Kong,218.01 m,715.27 ft,64 floors,2003,completed
2973,Vector Arena Tower,Manchester,186.00 m,610.24 ft,46 floors,,canceled
2974,New World Tower 1,Hong Kong,151.46 m,496.92 ft,43 floors,,completed
2975,IBM Plaza,Kuala Lumpur,112.00 m,367.45 ft,24 floors,1985,completed
2976,Shenzhen Special Zone Press Tower,Shenzhen,262.00 m,859.58 ft,48 floors,1998,completed
2977,1390 Brickell Bay,Miami,145.70 m,478.01 ft,49 floors,,canceled
2978,Yokohama I-Land Tower B,Yokohama,180.00 m,590.55 ft,41 floors,,proposed
2979,Post Chateau Block B,Guangzhou,43 floors,2005,completed
2980,Julfar Tower 2,Ras al-Khaimah,43 floors,2009,completed
2981,Far Eastern Banqiao Tower,New Taipei City,207.40 m,680.45 ft,50 floors,2013,completed
2982,El Vasco Torre 2,Oviedo,133.00 m,436.35 ft,39 floors,,proposed
2983,Landmark Capitol Tower,Phoenix,201.48 m,661.02 ft,49 floors,,canceled
2984,ACTY Osaka Building,Osaka,122.30 m,401.25 ft,27 floors,1983,completed
2985,Chelsea Tower,New York City,100.72 m,330.44 ft,33 floors,2003,completed
2986,Arrowhead,London,111.80 m,366.80 ft,25 floors,2009,completed
2987,Transport Tower,Astana,150.00 m,492.13 ft,34 floors,2003,completed
2988,Nerine Cove 1,Hong Kong,111.83 m,366.89 ft,34 floors,2000,completed
2989,Breezé Tower,Osaka,177.00 m,580.71 ft,39 floors,2008,completed
2990,Athaydeville 38,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
2991,Apolo,Rio de Janeiro,105.43 m,345.90 ft,33 floors,,completed
2992,Bank of America Center,Orlando,123.14 m,404.01 ft,28 floors,1988,completed
2993,Profsoyuznaya Ulitsa 156,Moscow,40 floors,,approved
2994,Jinchang Cultural Hotel,Shanghai,105.00 m,344.49 ft,30 floors,1990,completed
2995,Menara Millennium,Kuala Lumpur,101.50 m,333.01 ft,25 floors,2000,completed
2996,The Ritz-Carlton Hotel,Guangzhou,160.00 m,524.93 ft,35 floors,2007,completed
2997,Reforma Laureles Jacaranda,Mexico City,100.00 m,328.08 ft,25 floors,2003,completed
2998,Calderón - Mahou I,Madrid,120.00 m,393.70 ft,36 floors,,proposed
2999,Hilton Buckhead,Atlanta,185.00 m,606.96 ft,48 floors,2009,canceled
3000,Torre Thader 1,Murcia,102.00 m,334.65 ft,31 floors,,proposed
3001,Nam Fung Court,Hong Kong,42 floors,1988,completed
3002,Hotel La Palapa,Acapulco,110.00 m,360.89 ft,30 floors,,completed
3003,Belvedere Garden 1,Hong Kong,41 floors,1987,completed
3004,JR Central Office Tower,Nagoya,245.00 m,803.81 ft,51 floors,2000,completed
3005,Kaiserkarree,Frankfurt am Main,135.00 m,442.91 ft,38 floors,,canceled
3006,Shui Sing House,Hong Kong,40 floors,1994,completed
3007,Discovery Park tower 5,Hong Kong,48 floors,1998,completed
3008,Westin New York Grand Central Hotel,New York City,117.05 m,384.01 ft,41 floors,1981,completed
3009,Roppongi Hills Residences B,Tokyo,159.11 m,522.01 ft,43 floors,2003,completed
3010,Sankei Torch Building,Shenyang,120.09 m,394.01 ft,35 floors,,completed
3011,Mok-dong Chereville I Tower II,Seoul,133.45 m,437.83 ft,42 floors,2003,completed
3012,Houston Police Department Headquarters,Houston,117.65 m,386.00 ft,28 floors,1967,completed
3013,Green Lakes 2,Dubai,148.50 m,487.20 ft,39 floors,2007,completed
3014,Villa Esplanada 10,Hong Kong,148.03 m,485.66 ft,44 floors,2001,completed
3015,Musa Kawasaki Office Tower,Kawasaki,131.00 m,429.79 ft,27 floors,2003,completed
3016,Maoye Plaza 2,Shenyang,180.00 m,590.55 ft,,,frame assembly
3017,Ultra Broadbeach,Gold Coast City,100.00 m,328.08 ft,32 floors,2006,completed
3018,400 George Street,Brisbane,150.00 m,492.13 ft,37 floors,2009,completed
3019,Tierra Verde 3,Hong Kong,142.20 m,466.54 ft,50 floors,1999,completed
3020,Dubai Star,Dubai,46 floors,,frame assembly
3021,WTorre JK Torre Comercial 2,São Paulo,123.45 m,405.02 ft,21 floors,,frame assembly
3022,Golden Eagle Plaza,Nanjing,214.00 m,702.10 ft,58 floors,1998,completed
3023,Republic Center Tower II,Dallas,182.27 m,598.01 ft,53 floors,1964,completed
3024,The Plaza Residences,Panama City,40 floors,,proposed
3025,Shek Pai Wan Estate 3,Hong Kong,41 floors,2004,completed
3026,IS Bankasi Tower II,Istanbul,118.00 m,387.14 ft,36 floors,2000,completed
3027,Centrepoint,Burnaby,108.60 m,356.30 ft,35 floors,2008,completed
3028,The Icon Tower 1,Dubai,151.00 m,495.41 ft,40 floors,2008,completed
3029,Metro Place,Sacramento,109.73 m,360.00 ft,32 floors,,canceled
3030,One Financial Plaza,Fort Lauderdale,114.30 m,375.00 ft,28 floors,1973,completed
3031,Daelim Acrovill Two,Seoul,163.07 m,535.01 ft,46 floors,1999,completed
3032,Skytower Kaohsiung,Kaohsiung,118.00 m,387.14 ft,37 floors,1998,completed
3033,Youlian International Commercial Tower,Tianjin,46 floors,,proposed
3034,500 Brickell East Tower,Miami,129.85 m,426.00 ft,42 floors,2007,completed
3035,Toa Payoh Block 79B,Singapore,40 floors,2008,completed
3036,Macquarie Bank,Sydney,118.00 m,387.14 ft,30 floors,1977,completed
3037,Tio Maiko,Kobe,101.12 m,331.76 ft,26 floors,2001,completed
3038,Hoi Nga House,Hong Kong,41 floors,2004,completed
3039,Capital Corporate Tower,São Paulo,123.20 m,404.20 ft,32 floors,2012,completed
3040,Windsor Atlântica Hotel,Rio de Janeiro,109.80 m,360.24 ft,37 floors,1976,completed
3041,Lions Mansion Chikusa,Nagoya,100.00 m,328.08 ft,31 floors,2004,completed
3042,The Atrium,Dubai,277.66 m,910.94 ft,70 floors,2013,canceled
3043,Century Plaza Tower 2,Liuzhou,109.50 m,359.25 ft,,2012,completed
3044,Kaohsiung Twin Tower II,Kaohsiung,128.00 m,419.95 ft,35 floors,1996,completed
3045,Westview Heights,Calgary,40 floors,1974,completed
3046,Torre Fundadores,San Pedro Garza García,290.00 m,951.44 ft,70 floors,,proposed
3047,Pine Hills Office Tower II,Atlanta,40 floors,,canceled
3048,Times Tower,Nairobi,140.00 m,459.31 ft,38 floors,1997,completed
3049,India Tower,Mumbai,301.06 m,987.71 ft,70 floors,,canceled
3050,Reflection Jomtien Beach Tower A,Pattaya,234.00 m,767.72 ft,57 floors,2013,completed
3051,Nanjing Shimao Riviera New City 5,Nanjing,40 floors,,frame assembly
3052,El Vasco Torre 3,Oviedo,133.00 m,436.35 ft,39 floors,,proposed
3053,Nove Butovice Office Building II,Prague,40 floors,,proposed
3054,Seaview Condominium M,Jakarta,208.00 m,682.41 ft,48 floors,2015,completed
3055,Clapham Junction Tower 2,London,127.00 m,416.67 ft,40 floors,2012,proposed
3056,Liberte 2,Hong Kong,180.90 m,593.50 ft,51 floors,2003,completed
3057,330 Biscayne,Miami,50 floors,,canceled
3058,Atlas Tower,Ghent,100.00 m,328.08 ft,25 floors,,canceled
3059,Trump Tower Tampa,Tampa,180.75 m,593.01 ft,52 floors,,canceled
3060,Issa Hazbun,Natal,114.90 m,376.97 ft,37 floors,,foundation work
3061,Caribbean Coast 9,Hong Kong,169.51 m,556.14 ft,,2005,completed
3062,Gaza Twin Tower I,Gaza,150.00 m,492.13 ft,36 floors,,proposed
3063,Shinagawa Seaside View Tower II,Tokyo,100.00 m,328.08 ft,30 floors,2004,completed
3064,420 Fifth Avenue,New York City,119.25 m,391.24 ft,30 floors,1989,completed
3065,Fangyuan Hotel,Shanghai,106.00 m,347.77 ft,32 floors,1990,completed
3066,La Cite Noble 5,Hong Kong,157.35 m,516.24 ft,46 floors,1999,completed
3067,St. John's Tower,London,116.32 m,381.63 ft,30 floors,,canceled
3068,Mystic Point Torre 200,Panama City,44 floors,2006,completed
3069,Air China Plaza Offices,Beijing,102.00 m,334.65 ft,29 floors,2002,completed
3070,Commercial Bank of Ethiopia,Addis Ababa,170.80 m,560.37 ft,42 floors,,proposed
3071,One Berrini,São Paulo,42 floors,,canceled
3072,Shenzhen Broadcasting Center Building 2,Shenzhen,105.60 m,346.46 ft,25 floors,2001,completed
3073,Royal Garden,Maringá,130.00 m,426.51 ft,38 floors,1991,completed
3074,Akasaka Intercity,Tokyo,134.69 m,441.91 ft,29 floors,2005,completed
3075,Sun Tuen Mun Centre 8,Hong Kong,150.25 m,492.95 ft,48 floors,1991,completed
3076,Gayley at Wilshire,Los Angeles,130.15 m,427.00 ft,29 floors,,proposed
3077,17 State Street,New York City,165.25 m,542.17 ft,41 floors,1988,completed
3078,Manhattan Hill 6,Hong Kong,198.00 m,649.61 ft,49 floors,2006,completed
3079,Mitsui Marine & Fire Insurance Co. Headquarters,Tokyo,103.94 m,341.00 ft,25 floors,1984,completed
3080,Lai Nga House,Hong Kong,40 floors,1994,completed
3081,Hunghom Peninsula 4,Hong Kong,40 floors,2002,completed
3082,Dolton Hotel Changsha,Changsha,199.60 m,654.86 ft,51 floors,1998,completed
3083,Manhattan Hill 3,Hong Kong,198.00 m,649.61 ft,49 floors,2006,completed
3084,Harmonious Century Plaza 1,Kunming,210.00 m,688.98 ft,55 floors,2016,completed
3085,Solae,Inazawa,173.00 m,567.60 ft,40 floors,2007,completed
3086,Pudong Development Mansion,Shanghai,185.00 m,606.96 ft,36 floors,2001,completed
3087,M Three,Coquitlam,42 floors,2016,completed
3088,Century Square,Seattle,116.13 m,381.00 ft,30 floors,1986,completed
3089,Courtyard Doha City Center,Doha,200.00 m,656.17 ft,50 floors,2011,completed
3090,The Bottle District Residential Tower II,Saint Louis,173.00 m,567.59 ft,47 floors,,canceled
3091,Athaydeville 22,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3092,Artwin 1,Incheon,247.80 m,812.99 ft,72 floors,2015,completed
3093,Zhongguancun Financial Center,Beijing,150.00 m,492.13 ft,37 floors,2006,completed
3094,Hoi Kin House,Hong Kong,41 floors,2004,completed
3095,Umeda Hankyu Building,Osaka,187.00 m,613.52 ft,41 floors,2009,completed
3096,2 Bloor East,Toronto,133.81 m,439.01 ft,34 floors,1974,completed
3097,Blue Marlin Tower A,Natal,123.45 m,405.02 ft,36 floors,,approved
3098,United Tower,Kuwait City,240.00 m,787.40 ft,60 floors,2011,completed
3099,The Blade,London,149.60 m,490.81 ft,44 floors,,approved
3100,3690 Peachtree Road,Atlanta,118.87 m,390.00 ft,30 floors,2008,canceled
3101,Century Tower,Tokyo,104.00 m,341.21 ft,19 floors,1991,completed
3102,Almoayyed Towers,Manama,172.00 m,564.30 ft,49 floors,2003,completed
3103,Choi Yip House,Hong Kong,41 floors,1994,completed
3104,Marievik 15 - T6,Stockholm,104.00 m,341.21 ft,30 floors,,proposed
3105,44 West Bay,Doha,49 floors,,completed
3106,Activity Center of Science Technology and Culture,Shenyang,117.00 m,383.86 ft,32 floors,1991,completed
3107,King's Tower,Donetsk,109.00 m,357.61 ft,27 floors,2009,completed
3108,Citibank Building,New York City,104.85 m,344.00 ft,24 floors,1966,completed
3109,Residencias San Martín,Caracas,120.00 m,393.70 ft,44 floors,1972,completed
3110,Taman Anggrek VIII,Jakarta,151.00 m,495.41 ft,46 floors,1998,completed
3111,10000 Santa Monica Boulevard,Los Angeles,45 floors,,canceled
3112,Sung Fung Court,Hong Kong,42 floors,1988,completed
3113,Château Libertador Residence,Buenos Aires,133.06 m,436.55 ft,40 floors,2009,completed
3114,Baidu International Building East,Shenzhen,181.00 m,593.83 ft,39 floors,2015,completed
3115,Yasuda Fuji Otemachi Coop Building,Tokyo,105.00 m,344.49 ft,24 floors,1990,destroyed
3116,City Plaza,Brisbane,151.00 m,495.41 ft,45 floors,,canceled
3117,Kennedy Expressway Green Corridor Tower 8,Chicago,45 floors,2003,vision
3118,Torre Krystal,Bogotá,150.00 m,492.13 ft,35 floors,2015,completed
3119,Ichibankan,Kobe,114.00 m,374.02 ft,33 floors,1999,completed
3120,Menara Kencana Tower I,Jakarta,67 floors,,canceled
3121,Shoal Creek Walk Tower 1,Austin,106.68 m,350.00 ft,27 floors,,canceled
3122,Upper House,São Paulo,132.80 m,435.70 ft,40 floors,,canceled
3123,Armada Hoffler Tower,Virginia Beach,120.70 m,396.00 ft,23 floors,2002,completed
3124,Selenium Panorama,Istanbul,101.00 m,331.36 ft,24 floors,2009,completed
3125,Athaydeville 53,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3126,Tour PB22 B,Puteaux,145.00 m,475.72 ft,39 floors,,canceled
3127,Morada do Sol I,Rio de Janeiro,111.63 m,366.24 ft,34 floors,1967,completed
3128,Wah Lim House,Hong Kong,40 floors,1990,completed
3129,Liberty Plaza,New York City,155.39 m,509.82 ft,45 floors,2004,completed
3130,Jian Yin Building Tower A,Wuhan,208.00 m,682.41 ft,52 floors,1998,completed
3131,Phoenix,Grozny,145.00 m,475.72 ft,40 floors,2011,completed
3132,Tour Scotia,Montreal,127.64 m,418.75 ft,27 floors,1990,completed
3133,Izmailovsky 3,Moscow,112.00 m,367.45 ft,28 floors,2010,completed
3134,Sede Corporación Andina de Fomento,Caracas,147.00 m,482.28 ft,36 floors,,proposed
3135,110 William Street,New York City,128.02 m,420.01 ft,32 floors,1958,completed
3136,Horto Bela Vista Torre Residencial 18,Salvador,44 floors,,approved
3137,Brickell Flatiron,Miami,242.01 m,794.01 ft,70 floors,,canceled
3138,Neo Sky Dome Tower D,New Taipei City,177.57 m,582.59 ft,43 floors,2010,completed
3139,Century Tower,Tucson,106.68 m,350.00 ft,27 floors,,canceled
3140,Station Square 3,Burnaby,48 floors,2018,foundation work
3141,Standard Life Centre,Toronto,110.00 m,360.90 ft,26 floors,1984,completed
3142,China Construction Bank Building,Xiamen,190.60 m,625.33 ft,43 floors,2003,completed
3143,Tour Logica,Courbevoie,110.00 m,360.89 ft,32 floors,1971,completed
3144,Rhoda Island Residences,Cairo,118.00 m,387.14 ft,39 floors,,completed
3145,The Philadelphia Building,Melbourne,100.00 m,328.08 ft,27 floors,2001,completed
3146,Castelo Branco Office Park Torre 6,Barueri,124.28 m,407.74 ft,27 floors,,proposed
3147,Grolier Building,New York City,126.19 m,414.01 ft,33 floors,1958,completed
3148,Hilltop Tower,Tokyo,153.90 m,504.92 ft,47 floors,2005,completed
3149,Bell Marge Sakai Tower A,Sakai,142.58 m,467.78 ft,43 floors,1999,completed
3150,Xinhua News Agency Building,Beijing,117.00 m,383.86 ft,28 floors,1989,completed
3151,Yebisu Garden Terrace Ichibankan,Tokyo,106.99 m,351.00 ft,32 floors,1994,completed
3152,Millennium Buckhead,Atlanta,45 floors,,canceled
3153,Vianni Cove Tower 2,Hong Kong,52 floors,2003,completed
3154,Jade Pavillion 7,Guangzhou,161.71 m,530.54 ft,45 floors,2002,completed
3155,Manhattan Plaza Apartments II,New York City,130.46 m,428.01 ft,46 floors,1977,completed
3156,Parque Central Torre Oeste,Caracas,221.00 m,725.07 ft,56 floors,1984,completed
3157,Yoo Tel Aviv 2,Tel Aviv,142.00 m,465.88 ft,41 floors,2007,completed
3158,Canary Wharf NQ2,London,119.85 m,393.21 ft,18 floors,,approved
3159,One Lujiazui,Shanghai,269.05 m,882.70 ft,47 floors,2008,completed
3160,Pifre,Kobe,107.00 m,351.05 ft,27 floors,1998,completed
3161,Gedung Artha Graha,Jakarta,124.97 m,410.01 ft,30 floors,1995,completed
3162,Emerald Towers 1,Astana,210.00 m,688.98 ft,54 floors,,frame assembly
3163,Danat Al-Khan Tower,Sharjah,51 floors,2009,completed
3164,Energy Tower at City Center,Midland,267.00 m,875.98 ft,55 floors,,canceled
3165,A1 Tower,Dubai,45 floors,2009,completed
3166,Severnyi Business Center,Donetsk,110.00 m,360.89 ft,24 floors,2012,completed
3167,Torre F,Murcia,110.00 m,360.89 ft,17 floors,,proposed
3168,Hotel Nikko Toyohashi,Toyohashi,120.00 m,393.70 ft,30 floors,1990,completed
3169,Regal Palace Hotel,Dongguan,230.00 m,754.59 ft,53 floors,2007,completed
3170,Lumley Centre,Auckland,125.00 m,410.10 ft,29 floors,2005,completed
3171,Centrum Bis,Warsaw,150.00 m,492.13 ft,37 floors,,canceled
3172,Metrocity Milennium 1,Istanbul,134.00 m,439.63 ft,27 floors,2003,completed
3173,Annenberg Building,New York City,132.89 m,436.00 ft,26 floors,1976,completed
3174,Nihonbashi 1-Chome Building,Tokyo,121.00 m,396.98 ft,20 floors,2004,completed
3175,Solna Tower,Solna,210.00 m,688.98 ft,60 floors,,vision
3176,Chaz Yorkville Condos,Toronto,151.40 m,496.72 ft,47 floors,2015,completed
3177,Park Towers 2,Hong Kong,128.90 m,422.90 ft,40 floors,1989,completed
3178,Skyline on Brickell,Miami,114.66 m,376.18 ft,34 floors,2004,completed
3179,Hoi Fung Mansion,Hong Kong,40 floors,,completed
3180,Huangdu Square,Shenzhen,147.00 m,482.28 ft,43 floors,,completed
3181,520 Madison Avenue,New York City,175.87 m,577.00 ft,43 floors,1982,completed
3182,Catherina Mita Towersuite 1,Tokyo,125.50 m,411.75 ft,36 floors,2006,completed
3183,Metropolitan Tower B,Suzhou,210.00 m,688.98 ft,52 floors,2009,completed
3184,Simcoe Place,Toronto,148.00 m,485.56 ft,33 floors,1995,completed
3185,Park Belvedere 3,Hong Kong,40 floors,,completed
3186,1330 Post Oak Boulevard,Houston,128.02 m,420.01 ft,30 floors,1983,completed
3187,Fujian International Financial Center,Fuzhou,220.00 m,721.78 ft,48 floors,2015,completed
3188,Prinsenhof Toren D/E,The Hague,127.75 m,419.13 ft,26 floors,2005,completed
3189,Hi-Tech International Business Centre Digital Building,Xi'an,197.40 m,647.64 ft,40 floors,2003,completed
3190,Lotte Hotel Seoul,Seoul,138.00 m,452.76 ft,38 floors,1979,completed
3191,Ligao Riverside International Building,Nanchang,231.50 m,759.51 ft,42 floors,2014,completed
3192,Oberoi Oasis Tower B,Mumbai,372.00 m,1220.47 ft,82 floors,,foundation work
3193,NHK Osaka Hall,Osaka,134.97 m,442.80 ft,18 floors,2001,completed
3194,Jumeirah Residential Tower,Dubai,56 floors,2012,frame assembly
3195,Magic Tower,Yekaterinburg,270.00 m,885.83 ft,58 floors,,canceled
3196,20 Blackfriars Road Residential Tower,London,143.70 m,471.46 ft,43 floors,,approved
3197,New Reserve Bank of Zimbabwe,Harare,120.00 m,393.70 ft,28 floors,1997,completed
3198,Shui Moon House,Hong Kong,120.60 m,395.67 ft,39 floors,1994,completed
3199,Zhijiang Hotel,Hangzhou,102.00 m,334.65 ft,32 floors,1990,completed
3200,Bin Ham Tower 1,Sharjah,40 floors,2008,completed
3201,Sun Life Plaza - East,Calgary,114.00 m,374.01 ft,28 floors,1984,completed
3202,180 Montague Street,New York City,100.89 m,331.00 ft,33 floors,2000,completed
3203,Lotte Hotel Busan,Busan,172.82 m,567.01 ft,41 floors,1997,completed
3204,Chatswood Interchange (Tower 1),Sydney,168.00 m,551.18 ft,40 floors,,approved
3205,Sheraton Grand Tai Ping Yang,Shanghai,101.00 m,331.36 ft,27 floors,1990,completed
3206,Plaza de Castilla II,Madrid,50 floors,,canceled
3207,Shinagawa Intercity B,Tokyo,139.90 m,458.99 ft,32 floors,1998,completed
3208,BTD Office Center,Warsaw,146.00 m,479.00 ft,36 floors,,vision
3209,Athaydeville 5,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3210,BNZ Tower,Auckland,100.00 m,328.08 ft,23 floors,,completed
3211,Menara Dato'Onn,Kuala Lumpur,175.00 m,574.15 ft,40 floors,1985,completed
3212,Capital One Bank Building,New Orleans,108.21 m,355.00 ft,20 floors,1921,completed
3213,Celadon - Tower 5,Elizabeth,40 floors,,canceled
3214,East Point City Tower 2,Hong Kong,150.63 m,494.19 ft,49 floors,2000,completed
3215,Tangshan Broadcast Tower,Tangshan,40 floors,,proposed
3216,Umeda Diamond Building,Osaka,129.85 m,426.00 ft,27 floors,2002,completed
3217,Bachelor Villa Apartments,Hong Kong,250.00 m,820.21 ft,80 floors,,canceled
3218,801 Tower,Los Angeles,116.13 m,381.00 ft,24 floors,1992,completed
3219,Abu Dhabi Gas Processing Company Tower,Abu Dhabi,117.00 m,383.86 ft,29 floors,2004,completed
3220,Torre Banesco,Caracas,107.00 m,351.05 ft,23 floors,,completed
3221,Yee Wan Court,Hong Kong,40 floors,1994,completed
3222,World Center for Vedic Learning,Jabalpur,677.00 m,2221.13 ft,222 floors,2007,vision
3223,100 Fullarton Street,London,112.00 m,367.45 ft,33 floors,,proposed
3224,Seomyeon Central Star B,Busan,167.40 m,549.21 ft,47 floors,2011,completed
3225,Yiu Hei House,Hong Kong,40 floors,1996,completed
3226,Kai Wong House,Hong Kong,40 floors,1997,completed
3227,Fairwell International Center,Xiamen,397.16 m,1303.02 ft,88 floors,,canceled
3228,Belle van Zuylen,Utrecht,262.00 m,859.58 ft,69 floors,,canceled
3229,MK Tower,Bnei Brak,40 floors,,proposed
3230,Jahoo Hong Kong City,Chongqing,211.00 m,692.26 ft,56 floors,2008,completed
3231,El Castillo Santa Fe I,Mexico City,41 floors,,canceled
3232,Skyone Plaza,Chengdu,118.00 m,387.14 ft,31 floors,1994,completed
3233,Universal Mansion,Shanghai,112.00 m,367.45 ft,32 floors,1995,completed
3234,Fourth & Blanchard Building,Seattle,105.01 m,344.50 ft,25 floors,1979,completed
3235,Tzameret Bavli 1,Tel Aviv,44 floors,,approved
3236,Tianli Plaza Tower II,Wuhan,155.00 m,508.53 ft,41 floors,,completed
3237,Horto Bela Vista Torre Residencial 11,Salvador,44 floors,,approved
3238,Kunlun Hotel,Beijing,102.00 m,334.65 ft,28 floors,1986,completed
3239,KBR Tower,Houston,167.64 m,550.01 ft,40 floors,1973,completed
3240,Magnolia Hotel - Dallas,Dallas,121.63 m,399.05 ft,29 floors,1923,completed
3241,On Ning Garden 4,Hong Kong,42 floors,1991,completed
3242,Clague Garden A,Hong Kong,41 floors,1989,completed
3243,Luxury Horizon 1,Dalian,147.00 m,482.28 ft,42 floors,2013,completed
3244,North Galaxy A,Brussels,107.00 m,351.05 ft,28 floors,2004,completed
3245,Athaydeville 42,Rio de Janeiro,122.10 m,400.59 ft,36 floors,,canceled
3246,Mazaya Business Avenue 3,Dubai,50 floors,2010,completed
3247,SBS Broadcasting Centre,Seoul,167.00 m,547.90 ft,24 floors,2003,completed
3248,Oceania Business Plaza 1,Panama City,207.30 m,680.12 ft,53 floors,2012,completed
3249,Jinshui Wanda Center Office Tower,Zhengzhou,200.00 m,656.17 ft,43 floors,2016,completed
3250,Central Plaza Two,Brisbane,110.00 m,360.89 ft,30 floors,1990,completed
3251,Thessaloniki Business Center Block 3,Thessaloniki,165.00 m,541.34 ft,36 floors,,vision
3252,The Crest Tower,Tokyo,109.10 m,357.94 ft,32 floors,2004,completed
3253,Pacific Village 1,Panama City,179.00 m,587.27 ft,47 floors,2009,completed
3254,Liangjiang International,Nanjing,518.00 m,1699.48 ft,108 floors,,proposed
3255,489 5th Avenue,New York City,128.32 m,421.00 ft,34 floors,1970,completed
3256,The Tanner Hill 1,Hong Kong,49 floors,,completed
3257,Kuwait Building Tower,Kuwait City,40 floors,2012,completed
3258,Sarona Azrieli Tower,Tel Aviv,230.00 m,754.59 ft,53 floors,2017,completed
3259,Hyde Resort & Residences,Hallandale Beach,41 floors,2017,completed
3260,El Maadi Residential Tower 16,Cairo,140.00 m,459.31 ft,42 floors,1987,completed
3261,Nebula Residential and Office Tower 6,Dubai,55 floors,,proposed
3262,Aviv BaTzameret,Tel Aviv,107.90 m,354.00 ft,30 floors,2009,completed
